id,h1_label,h1_reason,h2_label,gold
21,"K, M","K: switch on getKeyCode() handling only Tab/Esc/Up/Down - filters specific keys, M: r.preventDefault(n) on arrow keys - suppresses default browser scroll behavior.","K, M","K, M"
22,"S, K, G","S: o.cachedInputValue=o.input.value - caches current input value on each keyup, K: switch filters keys 27/38/40 (Esc/Up/Down) with no-op break - only default triggers publish, G: t.currentTarget===u(t.target).closest(f)[0] - processes the event only when its originating target resolves to the delegated current target.","S, K, G","S, K, G"
23,K,K: event.key != 'Enter' return value - filters Enter key by returning false to block default action,K,K
24,T,T: DES_SOCCheck('SignonControl_PasswordTextBox') - handles the input event by invoking a password-field processing routine.,T,T
25,"A, O","A: checks whether the field accepts only numeric input and invokes card-specific input checking for account-number fields, O: formatNumberOnInput(this, ""date"", event) - applies date-specific formatting to numeric input while the user types.","A,O","F,L,A,O"
26,"F, L","F: n.event.dispatch.apply(a, arguments) - dispatches the event through jQuery's event dispatcher, L: n.event.triggered !== b.type - a conditional filter that determines whether to execute dispatch","F,L","F, L"
27,J,"J: detects the Enter key and delegates the keyup interaction directly to SubmitForm(), triggering form submission.",J,J
28,A,A: length_disabled_btn(this.value) - invokes a routine that checks the current input value length to determine whether it satisfies the required input-length condition.,A,S
29,"F, L","F: f.event.dispatch.apply(i.elem, arguments) - explicitly invokes jQuery's event dispatcher on i.elem, L: typeof f!=""undefined"" && (!a || f.event.triggered!==a.type) - conditionally allows dispatch only when the jQuery object exists and the same event type is not already being triggered.","F,L","F,L,B"
30,K,K: if(a.which===27) - filters the key event so fermerPopovers() runs only when the Escape key (27) is pressed.,K,K
31,"J, M, D","J: event.keyCode === 13 followed by NE() - delegates the Enter-key interaction to a subsequent action routine, M: event.preventDefault() - explicitly prevents the browser's default behavior for the Enter key event, D: classList.remove('sso-field-danger') and style.display = ""none"" - clears visible form error styling and hides the login status message.V","J, M, D","J, M, D"
32,"K, S","K: (9===e || e>36 && e<41) and if (e.which == 27) - filters key events for Tab/arrow keys and Escape before executing their respective actions, S: $('#lightbox').hide() - updates the interface state by hiding the lightbox when Escape is pressed.",K,K
33,"F, L, K","F: pe.event.dispatch.apply(l.elem, arguments) - jQuery's event dispatcher, L: ""undefined""==typeof pe || e && pe.event.triggered===e.type ? void 0 : ... - suppresses dispatch when jQuery is unavailable or the same event type is already being triggered, K: 27===e.keyCode - filters the keyup event so a.closeMenu() runs only for the Escape key","L, K","F, L, K"
34,K,K: event.charCode >= 48 && event.charCode <= 57 - filters keypress input by allowing only numeric character codes (0??).,K,K
35,"C, E","C: setCustomValidity('') - resets the field's existing custom validation error state, E: setCustomValidity('') - clears the browser's native custom validity message using the Constraint Validation API.","C,E","C, E"
36,"F, L, J, M","F: ia.event.dispatch.apply(l.elem, arguments) - jQuery's event dispatcher on l.elem, L: typeof ia===V || a && ia.event.triggered===a.type ? b : ... - suppresses dispatch when jQuery is unavailable or the same event type is already being triggered, J: 13 == e.keyCode followed by doSubmit() - delegates the Enter-key interaction directly to the form submission routine, M: e.preventDefault() - explicitly prevents the browser's default behavior for the Enter key event.","F, L, J, M","F, L, J, M"
37,P,"P: space(this, 4) - calls a formatting function named space on the current input with a spacing interval of 4.",P,P
38,"F, L","F: D.event.handle.apply(arguments.callee.elem, arguments) - Query's event dispatch routine on the associated element, L: typeof D!=""undefined"" && !D.event.triggered - allows event handling only when jQuery exists and no event is currently being triggered.","F,L","F, L"
39,H,"H: newEvt={target:e.target||e.srcElement, which:e.which||e.keyCode, type:e.type, ...} - repackages and normalizes the original event into a new proxy event object before passing it to listener(newEvt).",H,"H, N"
40,T,T: function onkeypress(event) - handles a keypress input event by invoking pulsaTeclaID() when the keypress occurs.,T,T
41,H,"H: new b.UI.DomEvent(a) - wraps the original event a in a new DomEvent object before passing it to c.call(j, ...).",H,H
42,"F, M, K","F: c.event.dispatch.apply(l.elem, arguments) - explicitly dispatches the event through the jQuery event dispatcher, M: a.preventDefault() - prevents the default action for the handled event, K: ""keydown"" !== a.type || 13 === a.which - restricts keydown-specific handling to the Enter key.","F, M, K","F, M, K, J"
43,"K, G, B, A","K: e.keyCode == 13 - filters the keydown path so form submission handling occurs only for the Enter key, G: e.target.id == 'enterID-known-input', e.target.id == 'enterID-input', and related checks - routes a shared event handler based on which child input generated the event, B: hasClass('btn-bofa-blue') and $('#EnterOnlineIDKnownForm').length - checks UI/form state before allowing the corresponding action, A: $('#enterID-input').val().length > 5 - validates the actual input value by checking its length.","K, G, B, A","J, K, G, B, A"
44,"J, M, D","J: event.keyCode === 13 followed by NE() - delegates the Enter-key interaction to a subsequent action routine, M: event.preventDefault() - explicitly prevents the default browser behavior for the Enter key event, D: Pass.classList.remove('sso-field-danger') and style.display = ""none"" - clears the field's error styling and hides the login status message.","J, M, D","J, M, D"
45,"N, G","N: if(!evt){return} - guards the keyup handler by exiting when no matching pressed-key state is found, G: var target=$(event.target); if(target.is(delegate)){ return handler.apply(target,arguments) } - delegates the event to the handler only when the originating target matches the delegated selector.","N, G","N, G"
46,"F, L, G, N, B","F: jQuery.event.dispatch.apply(eventHandle.elem, arguments) - jQuery's event dispatcher, L: (!e || jQuery.event.triggered !== e.type) - filters duplicate or already-triggered events before dispatch, G: function delegate(event) with this.form and shared element handling - processes validation events through a delegated handler for multiple form elements, N: if (currentForm !== this.form) { return; } - exits the handler when the event element belongs to a different form, B: isContentEditable, settings[eventType], and !$(this).is(settings.ignore) - checks element and validator configuration state before applying validation handling.","F, L, G, N, B","F, L, G, N"
47,O,O: this.value = this.value.replace(...).replace(...) - rewrites the input value during typing to maintain a numeric decimal format.,O,O
48,"F, L","F: S.event.dispatch.apply(t, arguments) -  jQuery's event dispatcher, L: ""undefined""!=typeof S && S.event.triggered!==e.type - allows dispatch only when jQuery exists and the same event type is not already being triggered.","F, L","F, L"
49,"B, N","B: e.disabled || e.getAttribute(""disabled"") || e.classList.contains(""disabled"") - checks whether the target element is in a disabled UI state, N: if(...disabled...) return - exits the handler immediately when the target element is disabled.","B, N","B, N"
50,"G, S, A","G: event.target || event.srcElement with tagName/type checks - routes the shared handler based on the form control that originated the event, S: this.ready = true - updates the readiness state of related form fields, A: validateTarget(target) - invokes validation on the selected input or select element.","G, S, A","G,B,A"
51,"F, L, N","F: jQuery.event.dispatch.apply(eventHandle.elem, arguments) - jQuery's event dispatcher, L: (!e || jQuery.event.triggered !== e.type) - suppresses dispatch when the same event type is already being triggered, N: if (!suppressDisabledCheck && (...disabled...)) { return; } - prevents the wrapped handler from executing when disabled handling is active.","F, L, N","F, L, N"
52,S,"S: cambiarValorDCCDinamicoNo() - invokes a function that changes a dynamic DCC form/state value to ""No"" in response to the change event (Spanish).",S,S
53,S,"S: cambiarValorDCCDinamicoSi() - invokes a function that changes a dynamic DCC form/state value to ""Yes"" in response to the change event (Spanish).",S,S
54,"A, E, C","A: this.value.length !== 8 || isNaN(this.value) - validates that the input is exactly eight digits and numeric, E: this.setCustomValidity(...) - overrides the browser's native validation feedback based on the input validity, C: this.setCustomValidity('') - clears the existing custom validation error when the input becomes valid.","A, E","A, E, C"
55,A,"A: this.value.indexOf('yahoo') > -1 - checks whether the current input value contains the string ""yahoo"".",A,A
56,D,"D: n.removeClass(c, ""error"") - removes the ""error"" class when the input contains a value.",D,"A,D"
57,K,K: if (event && event.keyCode == 13); - checks for the Enter key,K,K
58,F,F: dispatchImmediateChange() - invokes a function explicitly named to immediately dispatch a change event after processing the input value.,F,I
59,"F, L, D","F: oe.event.dispatch.apply(c.elem, arguments) - jQuery's event dispatcher, L: void 0===oe || e&&oe.event.triggered===e.type - suppresses dispatch when jQuery is unavailable or the same event type is already being triggered, D: $(this).removeClass('error') - clears the field's existing error styling.",F,"F, L, D"
60,T,T: function onkeyup(event) - handles a keyup input event by invoking a1() when the event occurs.,T,T
61,T,"T: function oninput(event) { autoTabInParent(this, ...)} - handles an input event by invoking automatic field-navigation logic for the current input.",T,T
62,O,O: MascaraTelefone(this) - invokes a telephone-mask function on the current input to format the value during keypress (Portuguese).,O,O
63,"C, K, O, Q, D","C: p.invalid = [] - resets the stored invalid-state collection before processing the input, K: $.inArray(keyCode, jMask.byPassKeys) === -1 - filters out configured bypass keys from masking processing, O: newVal = p.getMasked(); p.val(newVal) - rewrites the current value with its masked representation, Q: p.getCaret(), caretPos, and maskDif - calculates caret position adjustments around the masked value, D: document.getElementById('erong').classList.add('hidden') - hides the apparent error element during input handling.","O,K","C, K, O, Q, D"
64,K,K: preventInvalidKeys(event) and keyCode === ctrlKey || keyCode === cmdKey - filters keydown handling to block invalid keys and detect specific modifier keys.,K,K
65,O,O: self.doPasswordMasking(self.getTarget(e)) - applies password masking to the input element targeted by the event.,O,O
66,T,"T: movetoNext(this, 'debitCardSet3') - handles the keyup interaction by invoking navigation from the current input to the next debit-card field.",T,T
67,"A, S","A: input.value.trim().length > 0 and checkSigninInput() - checks whether the current input is non-empty and whether the sign-in inputs satisfy validation conditions, S: classList.add/remove('active') and signin_btn.removeAttribute/setAttribute('disabled') - updates field UI state and submit-button availability based on the input state.","A, S","A, S"
68,"A, S","A: !event.target.value || event.target.value == '' - checks whether the current input value is empty before deciding field navigation, S: changes the interaction state by moving focus to the previous or next field according to the current input state.","A, S",A
69,T,"T: focusNextField(this, 'inputpayerid|payButton', event) - handles the keyup interaction by invoking navigation from the current input to the next field.",T,T
70,"F, L, S","F: p.event.dispatch.apply(c.elem, arguments) - Query's event dispatcher, L: void 0===p || e&&p.event.triggered===e.type - suppresses dispatch when jQuery is unavailable or the same event type is already being triggered, S: removeClass(...) and addClass(...) - updates the input container's UI state based on whether the field contains a value.","F, L, S","F, L, S"
71,A,"A: limitText(this, 6) - invokes a text-length limiting function on the current input with a maximum length of 6.",A,A
72,"K, O, Q","K: -1 === f.inArray(b, h.byPassKeys) - filters out configured bypass keys before applying input-mask processing, O: m = c.getMasked() and m !== g && c.val(m) - generates and applies a masked representation of the current input value, Q: c.caretPos(d,t,n,p) and c.setCaret(d) - calculates and moves the caret to its adjusted position after masking.","K, O","K, O, Q"
73,A,A: idElement.value.length != 0 - checks whether the current input value is non-empty before showing the clear control.,A,A
74,"K, O","K: !/^(9|1[678]|224|3[789]|40)$/.test(e.keyCode.toString()) - filters out a specific set of key codes before executing password masking, O: self.doPasswordMasking(self.getTarget(e)) - applies password masking to the input targeted by the keyup event.","K, O","K, O"
75,U,"U: Ro(), To, ze(zo(e, n.value), t, 5, [e]) - uses minified identifiers and opaque helper calls, making the function's concrete input-event behavior unclear.",U,U
76,T,T: function onkeyup(event) - handles a keyup input event by invoking Activate() when the event occurs.,T,S
77,A,A: CK.Legacymon.CKReg.cleanNumber(this) - invokes a numeric-input checking routine to ensure the current field conforms to the expected numeric input constraints.,A,A
78,N,N: if (!isBuffering) - guards the main input-update logic so it executes only when touch buffering is inactive.,S,N
79,S,S: $Login.changeLogin('') - invokes login-state change logic in response to the select change event.,S,S
80,T,"T: movetoNext(this, 'pin3') - handles the change interaction by invoking navigation from the current field to the next PIN field.",T,T
81,U,"U: a.d, a.xa, a.N, a._in logic - uses heavily minified state variables and incomplete control flow, making the function's concrete click-handling behavior unclear.",U,U
82,U,"U: a.Ca, a.N, a._in, a.v logic - uses heavily minified state variables and incomplete control flow, making the function's concrete click-handling behavior unclear.",U,U
83,O,"O: .replace(/(\d{2})/, '$1/') - rewrites the input during typing by inserting / after the first two digits.",O,O
84,T,T: capslockevt(event); getKeysv2(); - handles a keypress event by invoking Caps Lock and key-processing routines.,T,T
85,"D, S","D: resets the phone field's border color, clearing its previous error-style indication during input, S: $('#button_nama').removeClass('disabled') - updates the form UI state by enabling the button in response to input.","D, S","D, S"
86,D,"D: document.getElementById(this.id + ""_error"").innerHTML = """" - clears the error message associated with the current input field.",D,D
87,T,T: function onkeyup(event) - handles a keyup input event by invoking check() when the event occurs.,T,B
88,D,"D: document.getElementById(this.id + ""_error"").innerHTML = """" - clears the displayed error message associated with the current input field.",D,D
89,T,T: function oninput(event) - handles an input event by invoking passworda(this) on the current field.,T,A
90,T,"T: movetoNext(this, 'pin3') - handles the keyup interaction by invoking navigation from the current field to the next PIN field.",T,T
91,A,A: pwElement.value.length != 0 - checks whether the password input contains a non-empty value before showing the clear control.,A,A
92,T,T: function onkeyup(event) - handles a keyup input event by invoking getVal() when the event occurs.,T,T
93,T,"T: function onkeypress(event) with submitenter(this,event) - handles a keypress input event by invoking Enter-submit processing for the current field.",T,T
94,O,O: this.value = cc_format(this.value) - rewrites the current input value using a credit-card formatting function during input.,O,O
95,T,"T: WebForm_FireDefaultButton(event, 'btnSignIn') - handles the keypress event by invoking default-button processing for the btnSignIn control.",T,T
96,U,"U: c[hidden[11]] and c[hidden[31]](c[hidden[30]](a)) - hides property and function names behind indexed lookups, obscuring the function's actual input-processing behavior.",U,U
97,T,T: doLookup($('#routing').val()) - handles an input event by passing the current routing-field value to a lookup routine.,T,T
98,A,A: validarchar1(event) - invokes a character-validation routine to determine whether the key input is valid (Spanish).,A,A
99,N,"N: if(typeof f===""function""){ f(b) } else { throw new Error(""Not a callback function""); } - guards callback execution by verifying that f is callable before invoking it.",N,N
100,N,N: if(e) e.cM3 = e.value - guards execution so the element value is stored only when CG(e) returns a valid target.,N,T
101,"B, N","B: self.isDisabled() - checks whether the input/component is currently in a disabled UI state, N: if (self.isDisabled()) return true - exits before self.onChange(...) when the component is disabled.","B, N",B
102,I,"I: n._messageBus.publish(pe.StandardInputEvent, e) - forwards the input event through the message bus under the StandardInputEvent channel.",I,I
103,T,"T: n.handleEvent(l,e,t) - handles the input event by passing it to the component's handleEvent routine.",T,T
104,T,"T: movetoNext(this, 'sc3') - handles the keyup interaction by invoking navigation from the current input to the next field.",T,T
105,K,"K: 16 == a.keyCode, 17 == a.keyCode, and 18 == a.keyCode - filters keyup handling to the Shift, Ctrl, and Alt keys.",K,K
106,"F, G, L","F: v.event.dispatch.apply(u.elem, arguments) - explicitly invokes jQuery's event dispatcher, G: function delegate(event) - uses a shared delegated handler to route validation events to the configured validator callback, L: v.event.triggered===e.type - suppresses event dispatch when the same event type is already being triggered.","F, G, L","F, G, L"
107,"F, O, Q","F: m.event.dispatch.apply(k.elem, arguments) - explicitly invokes jQuery's event dispatcher, O: this.value = this.value.replace(/[^\d]/g, '') - rewrites the input value by removing non-digit characters, Q: selectionStart and setCaretPosition(this.id, startPos) - calculates and restores the caret position after modifying the input value.","F, O, Q","F,L,K,O,Q"
108,"F, D","F: i.event.dispatch.apply(n, arguments) - explicitly invokes jQuery's event dispatcher on n, D: removeClass(""has_err"") and $("".err_div"").fadeOut() - clears error styling and hides the displayed error message area.","F, D","F,L,D"
109,T,T: onkeypass() - handles the keyup interaction by invoking a password-field key processing routine.,T,T
110,"E, M, A","E: setCustomValidity("""") and setCustomValidity(n.t(...)) - clears and sets custom browser validation messages based on the input validity, M: t.preventDefault() - prevents the browser's default handling of the invalid event, A: r.validity.valueMissing, r.validity.patternMismatch, and !r.validity.valid - checks the input's validity conditions to determine the appropriate validation response.","A,M","E,M"
111,H,"H: b.target=b.target||b.srcElement, b.which=b.which||b.keyCode, and the preventDefault shim - normalizes and augments the event object before passing it to a(b).",H,H
112,"K, J","K: keycode === 13 - filters the keyup handler so the login action runs only for the Enter key, J: $('#Login #signIn').click() - delegates the Enter-key interaction to the sign-in button's click action.","K, J","K, J"
113,T,"T: o.capsLockHandler(e, w) - handles the keydown input event by invoking a Caps Lock processing routine.",T,B
114,T,"T: movetoNext(this, '3rd') - handles the keyup interaction by invoking navigation from the current input to the next field.",T,T
115,"F, L","F: o.event.handle.apply(arguments.callee.elem, arguments) - invokes jQuery's event handling dispatcher on the bound element with the original event arguments, L: !o.event.triggered - allows event handling only when a programmatic jQuery event trigger is not already in progress.","F, L","F, L"
116,J,J: event.keyCode == 13 followed by document.A1.sendButton.click() - delegates the Enter-key interaction directly to the send button's click action.,J,J
117,O,"O: .replace(/[^\dA-Z]/gi, '') - masks the input by removing characters other than digits and letters.",O,"O,P"
118,"A, K","A: this.value.length == 8 - checks whether the input has reached its maximum allowed length of eight characters, K: return false - blocks further keypress input once the length limit is reached.","A, K","A, K"
119,T,T: checkReturnChar(event) - handles the keyup event by invoking a routine that checks the return-key character.,T,T
120,"A, K","A: valida(event) - invokes an input-validation routine for the keypress event, K: if(e.which==13){ return false; } - filters and blocks the Enter key during keypress handling.","A, K","A, K"
121,"F, G, L","F: jQuery.event.dispatch.apply(eventHandle.elem, arguments) - explicitly invokes jQuery's event dispatcher, G: function delegate(event) with settings[eventType].call(validator, this, event) - uses a shared delegated handler to route validation events to the configured element handler, L: jQuery.event.triggered !== e.type - suppresses dispatch when the same event type is already being triggered.","F, G, L","F, G, L"
122,"K, M, J","K: key-code checks for Tab, Space, Enter, Escape, and navigation keys - filters keydown handling according to specific keyboard inputs, J: f.toggle() / f.hide() and keyboard-navigation logic - delegates handled key interactions to the selectbox's corresponding UI actions, M: b.preventDefault() and b.stopPropagation() - prevents default browser behavior and stops propagation for handled key events.","K, M, J","K, M, J"
123,T,T: g = a.keyCode; i() - handles the keydown event by recording the pressed key code and invoking subsequent key-processing logic.,T,T
124,"F, L","F: st.event.dispatch.apply(s.elem, arguments) - explicitly invokes the event dispatcher, L: e && st.event.triggered === e.type - suppresses dispatch when the same event type is already being triggered.","F, L","F, L"
125,"E, C","E: setCustomValidity('') - manipulates the input's custom validity state using the Constraint Validation API, C: setCustomValidity('') - resets the existing custom validation error by clearing the custom validity message.","E, C","E, C"
126,T,T: a2() - handles the keyup interaction by invoking a generic input-processing routine.,T,T
127,A,A: /\d/.test(String.fromCharCode(...)) - validates whether the pressed character is a digit,A,A
128,T,"T: DES_SOCSet('SignonControl_PasswordTextBox','C') - handles the input interaction by invoking a processing routine for the password textbox.",T,T
129,A,A: validateCardNumber(this) - invokes a card-number validation routine on the current input field.,A,A
130,"K, M, J, I","K: case 13, case 27, case 8, case 46, and checks for 32, 38, 40 - filters keydown behavior according to specific control and navigation keys, M: preventDefault() and stopPropagation() - explicitly suppress default browser behavior and event propagation for handled keys, J: key-specific branches delegate keyboard interactions to actions such as date selection, clearing, focus navigation, and menu activation, I: trigger(""focus"") and trigger(""click"") - programmatically forwards keyboard interactions into focus and click events.",K,"K, M, J, I"
131,"F, L","F: f.event.handle.apply(k.elem, arguments) - invokes jQuery's event handling dispatcher on k.elem with the original arguments, L: f.event.triggered !== a.type - suppresses event handling when the same event type is already being triggered.","F, L","F, L"
132,"F, L","F: o.event.handle.apply(arguments.callee.elem, arguments) - invokes jQuery's event handling dispatcher on the bound element with the original arguments, L: !o.event.triggered - allows event handling only when a programmatic jQuery event trigger is not already in progress.","F, L","F, L"
133,"K, M, O","K: if (e.which !== 8) return - filters the handler to process only Backspace key events, M: e.preventDefault() - prevents the default Backspace behavior before applying custom deletion, O: $target.val(value.replace(...)) - rewrites the card-number value to preserve the masked formatting during deletion.","K, M, O","K, M, O"
134,A,A: isInputNumber(event) - invokes a numeric-input validation routine to check whether the keypress represents a number.,A,A
135,J,J: detects the Enter key and delegates the keypress interaction to the lava() action routine.,J,J
136,S,"S: fCls(..., 'showPlaceholder', 'add/remove') - updates the placeholder display state according to the current input state.",S,S
137,T,T: ss_handleKey(event) - handles the keyup input event through a dedicated key-processing routine.,T,T
138,"F, L","F: jQuery.event.dispatch.apply(elem, arguments) - explicitly invokes jQuery's event dispatcher on the bound element, L: jQuery.event.triggered !== e.type - suppresses dispatch when the same event type is already being triggered.","F, L","F, L"
139,A,A: SomenteNumero(event) - invokes a numeric-only input validation routine for the keypress event.,A,A
140,A,A: alphaNumeric(event) - invokes an alphanumeric input-validation routine for the keypress event.,A,A
141,A,A: validate(event) - invokes a validation routine for the keypress event.,A,A
142,"N, M","N: if (isUnlocking()) - guards execution of the event-control logic based on whether the unlocking process is active, M: stopPropagation() and stopImmediatePropagation() - explicitly prevents the keydown event from propagating to other handlers.","N, M","N, M"
143,N,N: r && !r.destroyed && e.target === this - guards execution of the transition cleanup logic based on component state and event target.,N,N
144,"F, L, K","F: jQuery.event.dispatch.apply(eventHandle.elem, arguments) - explicitly invokes jQuery's event dispatcher, L: jQuery.event.triggered !== e.type - suppresses dispatch when the same event type is already being triggered, K: if(e.which==13){ return false; } - filters and blocks the Enter key during keypress handling.","F, L, K","F, L, K"
145,T,"T: back = e.key === ""Backspace"" - handles the keydown event by recording whether the pressed key is Backspace.",T,T
146,"F, L","F: jQuery.event.dispatch.apply(eventHandle.elem, arguments) - explicitly invokes jQuery's event dispatcher, L: jQuery.event.triggered !== e.type - suppresses dispatch when the same event type is already being triggered","F, L",F
147,N,N: if(!e.useForcedLinkTracking) return ... - exits the click-processing path when forced link tracking is not enabled.,N,"N,U"
148,H,"H: new Sys.UI.DomEvent(e) - wraps the original event in a new DomEvent object before passing it to handler.call(element, ...).",H,H
149,"B, N","B: self.isDisabled() - checks whether the input/component is currently in a disabled UI state, N: if (self.isDisabled()) return true - exits before self.onBlur(...) when the component is disabled.","B, N",N
150,T,T: setConsentName() - handles the blur interaction by invoking a consent-name processing routine.,T,S
151,T,change() - handles the blur interaction by invoking a generic change processing routine.,T,T
152,T,T: CaptureValue2(this.form) - handles the change event by invoking a routine that captures values from the current form.,T,S
153,T,T: function onkeypress(event) - serves as a keypress input-event handler that receives the keyboard interaction.,T,T
154,"A, D","A: Password == ConfirmPassword / Password !== ConfirmPassword - validates whether the password and confirmation values match, D: elementsDisplay(elements.ConfirmPasswordError, 'hide') - clears the displayed confirmation-password error when the values match.","A, D","A, D"
155,K,K: CheckForEnter(event) - invokes a key-filtering routine that checks whether the keypress corresponds to the Enter key.,K,K
156,O,"O: this.value.replace(/[^\d]/, '') - rewrites the input value by removing non-digit characters during keyup.",O,O
157,T,T: detect_mail() - handles the keypress interaction by invoking a mail-related input processing routine.,T,A
158,"A, S","A: usernameLen > 3 - validates whether the username (user input) satisfies the minimum length requirement, S: next.disabled = false/true and the corresponding background updates - manages the Next button's enabled/disabled UI state based on the input length.","A, S","A, S"
159,D,"T: $('#city').css('border-color', ...) - handles the keyup interaction by updating the input field's visual state.",D,D
160,"K, S","K: event.code === 'CapsLock' || event.keyCode === 'CapsLock' - detects and selectively handles the Caps Lock key during keydown, S: classListToggle(..., {'cuda-capslock-warning': warningVisible}) - updates the Caps Lock warning UI state according to whether the warning should be visible.","K, S","B,S"
161,I,"I: _messageBus.publish(ce.StandardInputEvent, e) - forwards the input event through the message bus as a StandardInputEvent.",I,I
162,T,T: c() - handles the keyup interaction by invoking a generic input-processing routine.,T,T
163,"F, L","F: k.event.dispatch.apply(t, arguments) - explicitly invokes the event dispatcher on t with the original arguments, L: k.event.triggered !== e.type - suppresses dispatch when the same event type is already being triggered.","F, L","F, L"
164,T,T: HandleKeyPress(event) - handles the keypress interaction by passing the event to a dedicated key-processing routine.,T,T
165,"A, S","A: exp.length == 5 and cvv.length >= 3 - checks the card, expiration, CVV, and PIN values for required non-empty and length constraints, S: btn.disabled = false/true - manages the submit button's enabled state based on whether the input requirements are satisfied.","A, S","A, S"
166,"K, J, S","K: 13 == t.which filters the keydown handling to the Enter key before the action is executed, J: e.submitForm() delegates the Enter-key interaction directly to the form submission routine, S: toggleClass(""visible"", !!i) updates the Caps Lock warning UI according to the detected keyboard state.","A, J","K, J, S"
167,"A, I","A: validateNumber(g.target.value) - validates the current credit-card number input, I: e._sender.send(g) - forwards the validation-result message, including the appropriate error-handling route, to another component.","A, I","A, I"
168,T,T: a6() - handles the keyup interaction by invoking a generic input-processing routine.,T,T
169,J,J: if(event.keyCode==13) check(this.form) - delegates Enter-key handling to a form-processing routine when the user presses Enter.,J,J
170,"K, M","K: key === 8 || key === 13 - selectively handles keypresses by exempting Backspace and Enter from character filtering, M: e.preventDefault() - prevents invalid non-numeric keypresses from producing input.","K, M","K, M"
171,T,"T: movetoNext(this, 'password') - handles the keyup interaction by invoking a routine that advances the input flow to the next password field.",T,T
172,A,"A: limitText(this, 13) - applies a maximum-length constraint of 13 characters to the current input field.",A,A
173,"A, K","A: checks the input against a maximum length of 14 characters and restricts accepted characters to numeric digits, K: return false - filters out keypresses that exceed the length limit or are outside the numeric key range.","A, K","A, K"
174,T,T: melisa() - handles the keydown interaction by invoking a generic input-processing routine.,T,T
175,"A, K","A: event.charCode >= 48 && event.charCode <= 57 - validates whether the pressed character is a numeric digit, K: returning the character-range check result - allows numeric keypresses while rejecting non-numeric characters.","A, K",K
176,T,T: getKeyCode(a) and i() - handles the keydown interaction by extracting the pressed key code and invoking subsequent key-processing logic.,T,T
177,B,B: checkFilled() - invokes a routine that checks whether the relevant input fields are currently filled.,B,B
178,N,N: ...else { a.b.removeEventListener(...); a.ya=a.useForcedLinkTracking=0; return } - exits the click-processing path when forced link tracking is not active.,N,N
