cluster_id,cluster_size,date_range,dominant_identifier_types,kit_names_sample
69,2,2021-09-29 ~ 2022-08-18,email(4),2021-09-29_sfz; 2022-08-18_sfz
70,2,2021-09-30 ~ 2021-10-12,email(4),2021-09-30_wells; 2021-10-12_fargo
71,2,2021-10-05 ~ 2021-10-05,git_email(2); git_url(2); git_owner(2); email(2); git_repo(2),2021-10-05_TRAZABILIDAD3; 2021-10-05_WS
72,2,2021-10-06 ~ 2022-08-24,email(2),2021-10-06_wellsfargo2021; 2022-08-24_WellsFargo Ultimate
73,2,2021-10-07 ~ 2022-01-25,email(2),2021-10-07_Outlookfedback; 2022-01-25_expoutlook
74,2,2021-10-09 ~ 2022-03-03,email(2),2021-10-09_2020chase (1); 2022-03-03_chase 2020
75,2,2021-10-11 ~ 2022-11-11,tg_bot(2); tg_token(2),2021-10-11_olu; 2022-11-11_wellshome(1)
76,2,2021-10-18 ~ 2022-07-13,tg_token(2); tg_bot(2); tg_chat(2),2021-10-18_swissdyali; 2022-07-13_sgdnice
77,2,2021-10-19 ~ 2021-10-26,email(2),2021-10-19_Yahoo_files; 2021-10-26_Woring Wells
78,2,2021-10-19 ~ 2022-07-21,email(2),2021-10-19_onedrive (1); 2022-07-21_onedrive
79,2,2021-10-21 ~ 2022-05-14,email(4),2021-10-21_Fidelity Investment; 2022-05-14_Sign In - Weichert_files(1) (2)
80,2,2021-10-23 ~ 2022-06-22,tg_chat(2),2021-10-23_santa; 2022-06-22_LIBERBANK
81,2,2021-10-28 ~ 2021-10-28,email(2),2021-10-28_73092; 2021-10-28_www.citi.com
82,2,2021-10-29 ~ 2021-12-03,tg_bot(2); tg_chat(2); tg_token(2),2021-10-29_dhl-swiss; 2021-12-03_freshdpd
83,2,2021-12-01 ~ 2022-01-31,email(2),2021-12-01_hotOffice; 2022-01-31_yahoo
84,2,2021-12-19 ~ 2022-02-14,email(4),2021-12-19_razaq; 2022-02-14_OneDrive
85,2,2021-12-21 ~ 2022-01-06,email(10),2021-12-21_Earth_link; 2022-01-06_monwellfargoonline
86,2,2021-12-29 ~ 2022-08-11,email(2),2021-12-29_truelogin; 2022-08-11_truelogin
87,2,2022-01-09 ~ 2022-05-10,tg_bot(2); tg_chat(2); tg_token(2),2022-01-09_caixam; 2022-05-10_mybestpostale
88,2,2022-01-10 ~ 2022-07-06,email(2),2022-01-10_adobe; 2022-07-06_Validation
89,2,2022-01-10 ~ 2022-01-10,email(4),2022-01-10_e; 2022-01-10_s
90,2,2022-01-14 ~ 2023-03-06,email(2),2022-01-14_comsx; 2023-03-06_comsx
91,2,2022-01-14 ~ 2022-02-16,email(2),2022-01-14_off; 2022-02-16_New folder
92,2,2022-01-20 ~ 2022-02-02,tg_bot(2); tg_token(2),2022-01-20_upssms; 2022-02-02_netflixsms
93,2,2022-01-27 ~ 2022-05-31,email(6),2022-01-27_boa; 2022-05-31_boa
94,2,2022-02-02 ~ 2022-02-02,email(2),2022-02-02_INV645374657764GH 2 2; 2022-02-02_PDF 2
95,2,2022-02-02 ~ 2022-02-21,tg_bot(2); tg_token(2),2022-02-02_chasev3; 2022-02-21_chasev3
96,2,2022-02-04 ~ 2022-04-01,email(2),2022-02-04_MAILQUOTA; 2022-04-01_Alimail1
97,2,2022-02-08 ~ 2022-03-02,email(2),2022-02-08_Swisssssspost21; 2022-03-02_swisspost
98,2,2022-02-24 ~ 2022-08-22,tg_bot(2); tg_token(2); tg_chat(2),2022-02-24_mtb_2_new_bot; 2022-08-22_user.verification.online
99,2,2022-02-26 ~ 2022-02-26,email(2),2022-02-26_autodomain; 2022-02-26_autodomain1
100,2,2022-03-02 ~ 2022-04-16,email(2),2022-03-02_qsurve; 2022-04-16_RoyalMail-UK-Perfect
101,2,2022-03-21 ~ 2022-11-09,email(4),2022-03-21_mtb.com; 2022-11-09_ent_online
102,2,2022-03-28 ~ 2022-07-15,email(2),2022-03-28_spider; 2022-07-15_inv
103,2,2022-04-11 ~ 2022-04-25,tg_token(2); tg_chat(2); email(2); tg_bot(2),2022-04-11_post swiss die; 2022-04-25_DIE POST IP
104,2,2022-04-22 ~ 2022-04-22,email(2),2022-04-22_Shaadi; 2022-04-22_owa22
105,2,2022-04-26 ~ 2022-10-18,tg_chat(2),2022-04-26_dbbdd; 2022-10-18_rakuten
106,2,2022-04-27 ~ 2022-11-09,tg_token(2); tg_bot(2),2022-04-27_thuggeryslChseScmmr; 2022-11-09_Chase scam page 2022 with admin panel
107,2,2022-05-01 ~ 2023-02-13,tg_token(2); tg_bot(2),2022-05-01_track.service.usps.services; 2023-02-13_ro
108,2,2022-05-02 ~ 2023-10-11,email(2),2022-05-02_web; 2023-10-11_Office11
109,2,2022-05-05 ~ 2023-01-31,email(2),2022-05-05_A0L; 2023-01-31_AdobeEstate
110,2,2022-05-10 ~ 2022-05-10,email(2),2022-05-10_bc122211; 2022-05-10_drbtc
111,2,2022-05-20 ~ 2022-10-04,email(2),2022-05-20_present; 2022-10-04_wf
112,2,2022-05-20 ~ 2022-12-06,email(2),2022-05-20_xampoffice365; 2022-12-06_Maerskline
113,2,2022-05-26 ~ 2023-09-14,email(2),2022-05-26_Crypt; 2023-09-14_beelo
114,2,2022-06-05 ~ 2022-06-05,email(2),2022-06-05_DocuSign; 2022-06-05_OneDrivenew
115,2,2022-06-08 ~ 2024-01-12,email(2),2022-06-08_ATTNew; 2024-01-12_ATT
116,2,2022-06-15 ~ 2022-08-30,email(2),2022-06-15_2; 2022-08-30_ki
117,2,2022-06-15 ~ 2023-08-14,email(2),2022-06-15_ATTSURE; 2023-08-14_attmail
118,2,2022-06-17 ~ 2022-07-25,email(2),2022-06-17_mushroom; 2022-07-25_dean
119,2,2022-06-19 ~ 2022-11-09,tg_bot(2); tg_token(2); tg_chat(2),2022-06-19_greater nevada; 2022-11-09_MEMBERS CREDIT UNION
120,2,2022-07-04 ~ 2022-07-04,tg_token(2); tg_bot(2),2022-07-04_hard_20220530_055210; 2022-07-04_zipper-2022-07-04--02-28
121,2,2022-07-07 ~ 2023-08-29,email(2),2022-07-07_25GB; 2023-08-29_China2020
122,2,2022-07-10 ~ 2022-07-10,tg_token(2); tg_bot(2),2022-07-10_isracards; 2022-07-10_stracking-ch
123,2,2022-07-13 ~ 2023-07-26,email(2),2022-07-13_GenPForalichina; 2023-07-26_korianall
124,2,2022-07-14 ~ 2022-07-25,tg_bot(2); tg_token(2),2022-07-14_usprc; 2022-07-25_USPS-Mine
125,2,2022-07-20 ~ 2022-07-26,email(2),2022-07-20_update; 2022-07-26_life
126,2,2022-07-28 ~ 2022-07-28,tg_bot(2); tg_token(2),2022-07-28_chhhhh; 2022-07-28_chhjj
127,2,2022-07-31 ~ 2022-10-06,email(2),2022-07-31_Ned-Money-2022-UPDATE-RSAID-GOOD; 2022-10-06_APPROVAL PAGE
128,2,2022-08-19 ~ 2022-11-09,tg_bot(2); tg_token(2),2022-08-19_SECU @GRoshat; 2022-11-09_New 2022 WellsFargo Scama ( Leaked CodeFam) (2)
129,2,2022-08-20 ~ 2022-08-20,tg_chat(2),2022-08-20_SANTAcc; 2022-08-20_zipper-2022-08-20--04-40
130,2,2022-09-04 ~ 2023-01-09,email(2),2022-09-04_chanletaixiuv3; 2023-01-09_clmmtrantuni
131,2,2022-09-13 ~ 2023-07-06,email(2),2022-09-13_BNPNC; 2023-07-06_BNP
132,2,2022-09-23 ~ 2023-08-01,email(2),2022-09-23_team; 2023-08-01_team
133,2,2022-11-01 ~ 2022-12-09,tg_token(2); tg_bot(2),2022-11-01_USPS; 2022-12-09_USPS2050
134,2,2022-11-02 ~ 2022-11-02,email(2),2022-11-02_AG.talk; 2022-11-02_BeechTalk
135,2,2022-11-09 ~ 2022-11-09,tg_token(2); tg_bot(2),2022-11-09_dhI; 2022-11-09_dhl-john
136,2,2022-12-09 ~ 2023-02-17,tg_token(2); tg_bot(2); tg_chat(2),2022-12-09_ARUBAS2; 2023-02-17_arubagruop
137,2,2023-01-13 ~ 2023-08-28,email(12),2023-01-13_domainsunlocks; 2023-08-28_wakandabeta
138,2,2023-01-18 ~ 2023-03-14,email(2),2023-01-18_exceldocu (1); 2023-03-14_excelTTcopy
139,2,2023-01-26 ~ 2023-02-15,tg_chat(2),2023-01-26_SG; 2023-02-15_ING
140,2,2023-03-03 ~ 2023-03-03,tg_token(4); tg_bot(4); email(2); tg_chat(2),2023-03-03_zipper-2023-02-27--16-35; 2023-03-03_zipper-2023-02-27--16-50
141,2,2023-05-04 ~ 2023-05-04,email(2); tg_token(2); tg_bot(2),2023-05-04_dropbox-2023; 2023-05-04_office-new-telegram
142,2,2023-05-07 ~ 2023-10-01,email(2),2023-05-07_coinbase 10.1; 2023-10-01_cb1
143,2,2023-07-31 ~ 2023-07-31,email(2),2023-07-31_Validez-votre-paiement-tripartie; 2023-07-31_sogexia-epaiement-validez-votre-virement
144,2,2023-08-24 ~ 2023-08-24,email(10),2023-08-24_asahi; 2023-08-24_ss
145,2,2023-10-23 ~ 2023-10-23,email(2),2023-10-23_mailer; 2023-10-23_orders
146,2,2023-11-09 ~ 2024-11-29,tg_token(2); tg_bot(2),2023-11-09_DHL-Swiss-2022; 2024-11-29_zipper-2024-11-30--00-38
147,2,2024-10-30 ~ 2024-10-30,tg_token(2); tg_bot(2),2024-10-30_net; 2024-10-30_net -
148,2,2024-11-11 ~ 2024-11-11,email(4),2024-11-11_yahoobiz; 2024-11-11_yahoobiz -
149,2,2024-12-09 ~ 2024-12-09,email(6); git_name(6); git_email(6); git_owner(2); git_url(2); git_repo(2),2024-12-09_softarc; 2024-12-09_softarc -
